City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,college,64.8569,-147.8028,42.75,37,75,5.75,US,1712015012
184,allapalli,19.4167,80.0667,84.22,42,39,3.78,IN,1712015012
185,badger,64.8,-147.5333,42.67,35,0,5.75,US,1712014413
186,puerto baquerizo moreno,-0.9,-89.6,76.69,78,33,8.05,EC,1712014747
187,stephenville,32.2207,-98.2023,77.18,69,0,9.22,US,1712014717
188,kavieng,-2.5744,150.7967,83.52,77,97,17.02,PG,1712015014
189,natal,-5.795,-35.2094,81.25,94,40,6.91,BR,1712014904
190,holualoa,19.6228,-155.9522,75.04,83,75,6.91,US,1712015015
191,santa ana,33.7456,-117.8678,74.61,52,40,13.8,US,1712014750
192,qaqortoq,60.7167,-46.0333,19.87,85,17,5.37,GL,1712014765
193,menongue,-14.6585,17.691,66.47,86,100,4.32,AO,1712015016
194,lata,40.1629,-8.3327,50.07,92,94,4.88,PT,1712014857
195,lebu,-37.6167,-73.65,52.63,79,94,5.5,CL,1712014792
196,songea,-10.6833,35.65,63.07,94,97,2.24,TZ,1712015017
197,kirensk,57.7853,108.1119,18.97,96,99,1.99,RU,1712015018
198,newberg,45.3001,-122.9732,71.02,54,0,4.0,US,1712014761
199,siracusa,37.0881,15.2792,62.19,72,39,6.31,IT,1712014995
200,cadale,2.7603,46.3222,83.19,77,23,9.71,SO,1712014840
201,nadym,65.5333,72.5167,6.15,97,66,9.95,RU,1712015020
202,vallenar,-28.5708,-70.7581,72.59,51,0,2.42,CL,1712015020
203,acapulco de juarez,16.8634,-99.8901,82.22,78,0,17.27,MX,1712014748
204,khawr fakkan,25.3313,56.342,77.05,59,62,7.65,AE,1712015021
205,berriane,32.8265,3.7669,68.81,31,0,14.88,DZ,1712015022
206,vedaraniyam,10.3667,79.85,82.08,79,30,6.85,IN,1712015023
207,vengerovo,55.6848,76.7471,33.12,98,100,10.51,RU,1712015023
208,mirny,62.5353,113.9611,24.08,95,98,6.31,RU,1712015023
209,rameswaram,9.2833,79.3,83.59,78,46,8.99,IN,1712014817
210,krasnoturansk,54.3186,91.5639,28.24,82,98,3.0,RU,1712015024
211,heunghae,36.1125,129.3522,60.53,51,100,3.91,KR,1712015025
212,kyaikto,17.3,97.0167,78.12,77,0,4.85,MM,1712015025
213,hithadhoo,-0.6,73.0833,84.56,71,100,3.8,MV,1712015025
214,new norfolk,-42.7826,147.0587,60.93,98,100,2.19,AU,1712014812
215,agadez,19.75,10.25,83.34,8,18,5.95,NE,1712015026
216,ponta delgada,37.7333,-25.6667,61.52,82,40,25.32,PT,1712015027
217,midvagur,62.0511,-7.1939,41.83,75,100,19.57,FO,1712015027
218,bredasdorp,-34.5322,20.0403,61.99,79,32,14.27,ZA,1712014772
